Timestamp_ms,Row,Point_Index,X,Y,Screen_Width,Screen_Height
5649571,0,0,20,20,1920,1080
5749081,0,1,43,20,1920,1080
5849466,0,2,67,20,1920,1080
5998697,0,3,91,20,1920,1080
6149761,0,4,115,20,1920,1080
6299749,0,5,138,20,1920,1080
6399749,0,6,162,20,1920,1080
6549583,0,7,186,20,1920,1080
6649962,0,8,210,20,1920,1080
6799871,0,9,234,20,1920,1080
6899428,0,10,257,20,1920,1080
7041339,0,11,281,20,1920,1080
7099769,0,12,305,20,1920,1080
7249938,0,13,329,20,1920,1080
7299452,0,14,353,20,1920,1080
7449969,0,15,376,20,1920,1080
7498830,0,16,400,20,1920,1080
7599227,0,17,424,20,1920,1080
7749542,0,18,448,20,1920,1080
7899998,0,19,472,20,1920,1080
7999975,0,20,495,20,1920,1080
8099792,0,21,519,20,1920,1080
8249885,0,22,543,20,1920,1080
8299859,0,23,567,20,1920,1080
8399029,0,24,591,20,1920,1080
8497398,0,25,614,20,1920,1080
8649988,0,26,638,20,1920,1080
8749892,0,27,662,20,1920,1080
8899997,0,28,686,20,1920,1080
8999980,0,29,710,20,1920,1080
9149678,0,30,733,20,1920,1080
9249185,0,31,757,20,1920,1080
9348775,0,32,781,20,1920,1080
9449882,0,33,805,20,1920,1080
9549606,0,34,829,20,1920,1080
9699151,0,35,852,20,1920,1080
9797870,0,36,876,20,1920,1080
9899671,0,37,900,20,1920,1080
10046541,0,38,924,20,1920,1080
10098971,0,39,948,20,1920,1080
10249296,0,40,971,20,1920,1080
10299101,0,41,995,20,1920,1080
10449987,0,42,1019,20,1920,1080
10549982,0,43,1043,20,1920,1080
10649982,0,44,1067,20,1920,1080
10749999,0,45,1090,20,1920,1080
10899882,0,46,1114,20,1920,1080
11049955,0,47,1138,20,1920,1080
11098967,0,48,1162,20,1920,1080
11247343,0,49,1186,20,1920,1080
11299976,0,50,1209,20,1920,1080
11399766,0,51,1233,20,1920,1080
11498537,0,52,1257,20,1920,1080
11599956,0,53,1281,20,1920,1080
11749451,0,54,1305,20,1920,1080
11849353,0,55,1328,20,1920,1080
11999000,0,56,1352,20,1920,1080
12094912,0,57,1376,20,1920,1080
12249969,0,58,1400,20,1920,1080
12299152,0,59,1424,20,1920,1080
12396488,0,60,1447,20,1920,1080
12499988,0,61,1471,20,1920,1080
12599999,0,62,1495,20,1920,1080
12699891,0,63,1519,20,1920,1080
12799838,0,64,1543,20,1920,1080
12949896,0,65,1566,20,1920,1080
13049462,0,66,1590,20,1920,1080
13199948,0,67,1614,20,1920,1080
13299961,0,68,1638,20,1920,1080
13449930,0,69,1662,20,1920,1080
13499832,0,70,1685,20,1920,1080
13599056,0,71,1709,20,1920,1080
13698411,0,72,1733,20,1920,1080
13799996,0,73,1757,20,1920,1080
13949877,0,74,1781,20,1920,1080
14049912,0,75,1804,20,1920,1080
14149958,0,76,1828,20,1920,1080
14249539,0,77,1852,20,1920,1080
14399996,0,78,1876,20,1920,1080
14499996,0,79,1900,20,1920,1080
14649996,1,0,1900,74,1920,1080
14749938,1,1,1876,74,1920,1080
14849990,1,2,1852,74,1920,1080
14999973,1,3,1828,74,1920,1080
15099895,1,4,1804,74,1920,1080
15249999,1,5,1781,74,1920,1080
15349974,1,6,1757,74,1920,1080
15449991,1,7,1733,74,1920,1080
15549997,1,8,1709,74,1920,1080
15649951,1,9,1685,74,1920,1080
15799830,1,10,1662,74,1920,1080
